"report-def-1-rfile"
"Iteration" "report-def-1"
("Iteration" "report-def-1")
1 379.4714353633234
2 504.3445516322054
3 628.9557754945748
4 596.7590792919925
5 575.7352999908892
6 571.3549684819143
7 571.9918530221566
8 575.8880438283236
9 577.4924472394339
10 579.6487745452484
11 580.8048256486726
12 580.8688845071952
13 580.5757935423572
14 580.5442764069061
15 580.8520047541642
16 580.9195763954413
17 581.211331993879
18 581.6287770093959
19 581.6347758621855
20 581.1977276081268
21 580.7258083678311
22 580.6738517309857
23 580.61867116291
24 580.4650769718598
25 580.3147481085698
26 580.121356149422
27 579.9304480218393
28 579.7310726536662
29 579.8264012350437
30 582.6909709597868
31 585.4129157084963
32 584.0557932869186
33 582.0625870992282
34 580.6513944433054
35 579.7227305699275
36 578.7617396707583
37 578.157375351617
38 577.8978465601301
39 577.9131623343371
40 578.135836767538
41 578.5218578993611
42 578.9458921531161
43 580.0219571548516
44 581.2742715272968
45 581.5109385896722
46 580.9983747008711
47 580.4653117063351
48 580.0239621171933
49 579.6958089319994
50 579.4926540754768
51 579.3799615890048
52 579.3456629210581
53 579.34098116901
54 579.3025415820672
55 579.2507641429627
56 579.1807064260124
57 579.110374583502
58 579.0362198887781
59 578.9658667698229
60 578.9006246928519
61 578.8565131387829
62 578.8243907938706
63 578.803923258545
64 578.7924380373931
65 578.7841336097595
66 578.7767491652562
67 578.7711480335665
68 578.7646665873544
69 578.7584575208518
70 578.7535595859579
71 578.7487471562258
72 578.7442619580222
73 578.7404242045305
74 578.7371979735246
75 578.7345748505537
76 578.7321947138037
77 578.7299841782119
78 578.728254406271
79 578.7266053662819
80 578.7251848017436
81 578.7238808965418
82 578.7230264398406
83 578.7220769002506
84 578.7212176148271
85 578.7205210317537
86 578.7197896116579
87 578.7192903304144
88 578.7189969175215
89 578.7187598704008
90 578.7185052988518
91 578.7183386941072
92 578.7181573133637
93 578.7180589474087
94 578.717943837803
95 578.7177891267603
96 578.7177913281109
97 578.7175671307525
98 578.7172782845687
99 578.7169624770728
100 578.7167828248844
