"report-def-1-rfile"
"Iteration" "report-def-1"
("Iteration" "report-def-1")
11 263.9588454139184
12 263.673467328905
13 263.4655500905411
14 263.3156229086065
15 263.2026325448714
16 263.1330669482529
17 263.0791438230171
18 263.0473291750764
19 263.0291704157696
20 263.0283981380247
21 263.0366329807133
22 263.0471527012756
23 263.0555138722939
24 263.0598729709198
25 263.0614929350479
26 263.061244202423
27 263.0607556349664
28 263.0603432769987
29 263.0601623058006
30 263.0600208905211
31 263.059889548017
32 263.0597351008606
33 263.0596543188884
34 263.0597121955229
35 263.0597173076366
36 263.0596776070151
37 263.0596329356999
38 263.0596531805975
39 263.0596325036805
40 263.0595536037123
41 263.0594967178512
42 263.0593962871359
43 263.0593109111017
44 263.0592010764322
45 263.0590867919577
46 263.0589765886051
47 263.0588907755039
48 263.0587836413161
49 263.0587645157764
50 263.0586937140043
51 263.0586848471934
52 263.0586147319812
53 263.058519925826
54 263.0584627774313
55 263.0583657376951
56 263.0582374429706
57 263.0581502866575
58 263.058040999791
59 263.0579838600374
60 263.0579472481605
61 263.0579691130388
62 263.0579516042355
63 263.0578568489797
64 263.057804102812
65 263.0577358595172
66 263.057678095262
67 263.0577597577401
68 263.0578395531583
69 263.0578124881483
70 263.0577917359859
71 263.0577283066885
72 263.0576535063876
73 263.0575840880167
74 263.0575624781576
75 263.0575278130207
76 263.0576202059108
77 263.0577171300878
78 263.0576563101205
79 263.0575609229433
80 263.0574798166547
81 263.0574097927764
82 263.0574108690965
83 263.0574336902707
84 263.0575071060057
85 263.0576637670413
86 263.0576792958955
87 263.0577598517162
88 263.0577400701359
89 263.0577362549043
90 263.0577621872948
91 263.0578306672506
92 263.0579637896864
93 263.0580543692571
94 263.058137121049
95 263.0582146830982
96 263.0582818444719
97 263.0582077589804
98 263.0580501412782
99 263.0579410459052
100 263.0578901445743
101 263.0579573503488
102 263.058049663961
103 263.0581625125748
104 263.0580811274602
105 263.0578722949306
106 263.0576792870707
107 263.0575539234189
108 263.0574799896934
109 263.0573661449587
110 263.0574025961177
111 263.0575695659575
