BackendTime,ch0sens,ch1sens,ch2sens,ch3sens,ch4sens,ch5sens,ch6sens,ch7sens,ch8sens,ch9sens,ch10sens,ch11sens,temp0,temp1,temp2,temp3,system_status,system_time
1748105449075.326,1.039926528930664,1.040075421333313,-9270.0,-8909.0,-7247.0,423.0,-42601.0,0.33342549204826355,-42129.0,-41340.0,-40303.0,-6739.0,0.0,nan,nan,nan,524289,3824
1748105449078.885,1.039893388748169,1.0401372909545898,-9264.0,-8891.0,-7280.0,403.0,-42554.0,0.3256842792034149,-42126.0,-41323.0,-40303.0,-6720.0,0.0,nan,nan,nan,524289,3828
1748105449084.3184,1.0398660898208618,1.0401005744934082,-9265.0,-8907.0,-7265.0,400.0,-42568.0,0.32596075534820557,-42126.0,-41333.0,-40300.0,-6740.0,0.0,nan,nan,nan,524289,3834
1748105449087.6294,1.0400240421295166,1.0400967597961426,-9257.0,-8877.0,-7248.0,431.0,-42562.0,0.3320431411266327,-42128.0,-41328.0,-40308.0,-6730.0,0.0,nan,nan,nan,524289,3838
1748105449092.053,1.0399519205093384,1.040069580078125,-9234.0,-8885.0,-7210.0,432.0,-42569.0,0.3397843539714813,-42146.0,-41326.0,-40281.0,-6760.0,0.0,nan,nan,nan,524289,3842
1748105449095.5024,1.0399090051651,1.0400367975234985,-9209.0,-8889.0,-7194.0,435.0,-42570.0,0.328172504901886,-42114.0,-41345.0,-40313.0,-6752.0,0.0,nan,nan,nan,524289,3845
1748105449097.7146,1.0399187803268433,1.0401102304458618,-9220.0,-8856.0,-7195.0,420.0,-42570.0,0.3309372365474701,-42127.0,-41334.0,-40304.0,-6771.0,0.0,nan,nan,nan,524289,3848
1748105449128.6526,1.0399012565612793,1.0400580167770386,-9228.0,-8883.0,-7203.0,403.0,-42566.0,0.328172504901886,-42108.0,-41287.0,-40305.0,-6782.0,0.0,nan,nan,nan,524289,3878
1748105449202.1438,1.039932370185852,1.0400618314743042,-9254.0,-8856.0,-7179.0,453.0,-42569.0,0.33453136682510376,-42124.0,-41332.0,-40279.0,-6760.0,0.0,nan,nan,nan,524289,3953
1748105449303.3367,1.0399285554885864,1.0400580167770386,-9233.0,-8890.0,-7468.0,393.0,-42573.0,0.33674314618110657,-42104.0,-41288.0,-40288.0,-6775.0,0.0,nan,nan,nan,524289,4054
1748105449403.8474,1.039899230003357,1.040048360824585,-9271.0,-8850.0,-7282.0,351.0,-42592.0,0.33287253975868225,-42126.0,-41338.0,-40304.0,-6783.0,0.0,nan,nan,nan,524289,4154
