"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
11 315.9273933333872
12 315.7911847806122
13 315.7124592640919
14 315.6763567132465
15 315.6606806341629
16 315.6595187955616
17 315.6594608762879
18 315.6590189021105
19 315.6582980052397
20 315.6596293737704
21 315.6610428158735
22 315.6629701774739
23 315.6636746081161
24 315.6631397933209
25 315.6619689350098
26 315.6609459108931
27 315.659837998055
28 315.6588873066
29 315.657745599194
30 315.6565164826458
31 315.6553521780669
32 315.6542164627442
33 315.653110789471
34 315.6521117305321
35 315.6511052178583
36 315.6501704871753
37 315.649335965075
38 315.6485407815732
39 315.6479066617251
40 315.6473914401344
41 315.6469354906413
42 315.6465478165404
43 315.6461909675912
44 315.6458465994854
45 315.6455942109313
46 315.645396242639
47 315.6452673105157
48 315.6452209126967
49 315.6451818682346
50 315.6451037519497
51 315.6450451885772
52 315.6449954103459
53 315.6449893808111
54 315.6449926946809
55 315.6450024867739
56 315.64498975128
57 315.6449435498453
58 315.6448455931845
59 315.6447800265332
60 315.6447034458666
61 315.6446100430951
62 315.6444699016994
63 315.6443095846013
64 315.6442370601873
65 315.6441425798708
66 315.6440913001879
67 315.6440084572461
68 315.6440021386009
69 315.643957197415
70 315.6439550432081
71 315.6439307729144
72 315.6438862959196
73 315.6438604266215
74 315.6438170221128
75 315.6438166112438
76 315.6438135643983
77 315.64373309757
78 315.6437155320277
79 315.6437193066927
80 315.6437400413758
81 315.6437417009427
82 315.6436945691774
83 315.6437296919385
84 315.6437746257551
85 315.6437391262074
86 315.6436940369611
87 315.6436205881458
88 315.6436288291594
89 315.6435921357195
90 315.6435585083922
91 315.6435803535027
92 315.6436514846972
93 315.6436088630747
94 315.6436063268786
95 315.6436558738088
96 315.6437414956318
97 315.6437702073318
98 315.6437557350583
99 315.6438342837888
100 315.643940055607
101 315.6439565666662
102 315.643860331125
103 315.6439284747527
104 315.6440424881666
105 315.6439977957097
106 315.6439854854095
107 315.6440805239424
108 315.6441685867094
109 315.6441547845591
110 315.6442264711498
111 315.6442321242018
