BackendTime,ch0sens,ch1sens,ch2sens,ch3sens,ch4sens,ch5sens,ch6sens,ch7sens,ch8sens,ch9sens,ch10sens,ch11sens,temp0,temp1,temp2,temp3,system_status,system_time
1749660169292.0642,1.0314735174179077,1.0112078189849854,-9088.0,-9020.0,-7184.0,296.0,-42633.0,0.23583079874515533,-42158.0,-41395.0,-40329.0,-6841.0,0.0,nan,nan,nan,524289,3825
1749660169298.4263,1.0314637422561646,1.011271595954895,-9063.0,-8995.0,-7165.0,267.0,-42654.0,0.2366602122783661,-42174.0,-41372.0,-40329.0,-6843.0,0.0,nan,nan,nan,524289,3830
1749660169303.6536,1.0315144062042236,1.0112464427947998,-9057.0,-9027.0,-7146.0,275.0,-42641.0,0.23804257810115814,-42169.0,-41363.0,-40321.0,-6847.0,0.0,nan,nan,nan,524289,3834
1749660169305.3723,1.0315104722976685,1.0112581253051758,-9047.0,-9033.0,-7233.0,287.0,-42611.0,0.22726015746593475,-42169.0,-41375.0,-40339.0,-6858.0,0.0,nan,nan,nan,524289,3837
1749660169307.8713,1.0314929485321045,1.0112136602401733,-9040.0,-9023.0,-7303.0,306.0,-42633.0,0.2372131645679474,-42181.0,-41382.0,-40331.0,-6800.0,0.0,nan,nan,nan,524289,3840
1749660169310.616,1.0314656496047974,1.0112290382385254,-9045.0,-9003.0,-7246.0,296.0,-42642.0,0.23583079874515533,-42174.0,-41397.0,-40333.0,-6761.0,0.0,nan,nan,nan,524289,3844
1749660169313.279,1.0314656496047974,1.0112290382385254,-9045.0,-9003.0,-7246.0,296.0,-42642.0,0.23583079874515533,-42174.0,-41397.0,-40333.0,-6761.0,0.0,nan,nan,nan,524289,3848
1749660169346.6392,1.0316157341003418,1.0112348794937134,-9079.0,-8957.0,-7231.0,335.0,-42654.0,0.23361901938915253,-42174.0,-41388.0,-40365.0,-6845.0,0.0,nan,nan,nan,524289,3883
1749660169419.0203,1.0315650701522827,1.0112677812576294,-9068.0,-9020.0,-7253.0,376.0,-42628.0,0.23251312971115112,-42165.0,-41396.0,-40337.0,-6778.0,0.0,nan,nan,nan,524289,3959
1749660169518.44,1.0315436124801636,1.0112522840499878,-9035.0,-9022.0,-7331.0,332.0,-42648.0,0.24025435745716095,-42187.0,-41391.0,-40351.0,-6828.0,0.0,nan,nan,nan,524289,4059
1749660169619.9739,1.0315417051315308,1.0112696886062622,-9074.0,-9005.0,-7228.0,318.0,-42635.0,0.2383190542459488,-42177.0,-41387.0,-40339.0,-6830.0,0.0,nan,nan,nan,524289,4160
1749660169721.0103,1.0314500331878662,1.011256217956543,-9020.0,-8973.0,-7232.0,388.0,-42584.0,0.2383190542459488,-42183.0,-41403.0,-40365.0,-6837.0,0.0,nan,nan,nan,524289,4261
1749660169823.3726,1.0314462184906006,1.0112388134002686,-9032.0,-9023.0,-7249.0,359.0,-42644.0,0.23804257810115814,-42170.0,-41375.0,-40369.0,-6771.0,0.0,nan,nan,nan,524289,4362
1749660169923.9805,1.0314871072769165,1.0112136602401733,-9109.0,-9027.0,-7241.0,323.0,-42638.0,0.23472490906715393,-42184.0,-41407.0,-40358.0,-6797.0,0.0,nan,nan,nan,524289,4463
1749660170023.366,1.0314754247665405,1.011211633682251,-9102.0,-8970.0,-7121.0,280.0,-42625.0,0.23500138521194458,-42163.0,-41417.0,-40358.0,-6810.0,0.0,nan,nan,nan,524289,4563
1749660170124.5278,1.0314441919326782,1.0112059116363525,-9048.0,-9000.0,-7158.0,309.0,-42617.0,0.2405308336019516,-42193.0,-41405.0,-40353.0,-6848.0,0.0,nan,nan,nan,524289,4664
1749660170224.7747,1.0313897132873535,1.0112948417663574,-9050.0,-8968.0,-7122.0,279.0,-42631.0,0.23914846777915955,-42190.0,-41386.0,-40361.0,-6891.0,0.0,nan,nan,nan,524289,4764
1749660170335.5571,1.0314831733703613,1.011223316192627,-9030.0,-8946.0,-7111.0,259.0,-42637.0,0.22836604714393616,-42152.0,-41375.0,-40379.0,-6810.0,0.0,nan,nan,nan,524289,4872
1749660170431.1924,1.0315104722976685,1.0112619400024414,-9037.0,-8972.0,-7198.0,291.0,-42628.0,0.23444843292236328,-42172.0,-41402.0,-40340.0,-6838.0,0.0,nan,nan,nan,524289,4971
1749660170543.3806,1.0315163135528564,1.0112600326538086,-9017.0,-9024.0,-7254.0,243.0,-42633.0,0.23278960585594177,-42186.0,-41400.0,-40356.0,-6826.0,0.0,nan,nan,nan,524289,5071
1749660170631.1848,1.0314948558807373,1.0112581253051758,-9031.0,-8977.0,-7216.0,296.0,-42613.0,0.23555432260036469,-42182.0,-41389.0,-40356.0,-6810.0,0.0,nan,nan,nan,524289,5171
1749660170732.4346,1.0315611362457275,1.0112522840499878,-9047.0,-8972.0,-7369.0,296.0,-42650.0,0.23472490906715393,-42181.0,-41404.0,-40342.0,-6826.0,0.0,nan,nan,nan,524289,5272
1749660170833.6296,1.0315260887145996,1.0112407207489014,-9055.0,-9006.0,-7216.0,288.0,-42642.0,0.2394249439239502,-42176.0,-41409.0,-40340.0,-6762.0,0.0,nan,nan,nan,524289,5373
1749660170933.512,1.0314579010009766,1.011223316192627,-9070.0,-8984.0,-7228.0,292.0,-42639.0,0.23417197167873383,-42182.0,-41390.0,-40352.0,-6825.0,0.0,nan,nan,nan,524289,5474
1749660171033.896,1.0314831733703613,1.0112310647964478,-9038.0,-8969.0,-7200.0,218.0,-42626.0,0.23196019232273102,-42146.0,-41397.0,-40339.0,-6816.0,0.0,nan,nan,nan,524289,5574
1749660171134.4578,1.0314558744430542,1.0112407207489014,-8942.0,-8946.0,-7246.0,278.0,-42636.0,0.23168371617794037,-42208.0,-41388.0,-40355.0,-6810.0,0.0,nan,nan,nan,524289,5674
1749660171234.0908,1.0315221548080444,1.0112484693527222,-8969.0,-8974.0,-7226.0,254.0,-42638.0,0.23002488911151886,-42164.0,-41380.0,-40343.0,-6777.0,0.0,nan,nan,nan,524289,5774
1749660171335.4995,1.0314539670944214,1.0112619400024414,-9038.0,-8965.0,-7270.0,278.0,-42636.0,0.23113077878952026,-42186.0,-41413.0,-40342.0,-6803.0,0.0,nan,nan,nan,524289,5876
1749660171438.6611,1.0315183401107788,1.011163353919983,-8996.0,-8954.0,-7072.0,269.0,-42635.0,0.2383190542459488,-42174.0,-41411.0,-40347.0,-6806.0,0.0,nan,nan,nan,524289,5977
1749660171537.4048,1.0315377712249756,1.011271595954895,-9125.0,-8942.0,-7107.0,298.0,-42648.0,0.23113077878952026,-42165.0,-41416.0,-40337.0,-6825.0,0.0,nan,nan,nan,524289,6077
1749660171637.5933,1.0314598083496094,1.0112271308898926,-9127.0,-8972.0,-7147.0,270.0,-42621.0,0.24246613681316376,-42170.0,-41396.0,-40352.0,-6795.0,0.0,nan,nan,nan,524289,6178
1749660171738.347,1.0314383506774902,1.0112388134002686,-9159.0,-9004.0,-7037.0,279.0,-42631.0,0.23168371617794037,-42178.0,-41407.0,-40370.0,-6840.0,0.0,nan,nan,nan,524289,6278
1749660171838.5022,1.0314735174179077,1.0112638473510742,-9110.0,-8972.0,-7157.0,255.0,-42657.0,0.2399778813123703,-42180.0,-41379.0,-40339.0,-6782.0,0.0,nan,nan,nan,524289,6379
