BackendTime,ch0sens,ch1sens,ch2sens,ch3sens,ch4sens,ch5sens,ch6sens,ch7sens,ch8sens,ch9sens,ch10sens,ch11sens,temp0,temp1,temp2,temp3,system_status,system_time
1749749970660.7393,1.0101468563079834,1.0104902982711792,-9138.0,-8850.0,-7249.0,280.0,-42547.0,0.17915399372577667,-42083.0,-41341.0,-40283.0,-6801.0,0.0,nan,nan,nan,524289,3824
1749749970665.269,1.0101546049118042,1.0104438066482544,-9149.0,-8855.0,-7258.0,282.0,-42561.0,0.1971246898174286,-42092.0,-41332.0,-40276.0,-6782.0,0.0,nan,nan,nan,524289,3828
1749749970670.5198,1.010094165802002,1.0104206800460815,-9132.0,-8878.0,-7246.0,293.0,-42545.0,0.1874481588602066,-42073.0,-41321.0,-40267.0,-6782.0,0.0,nan,nan,nan,524289,3834
1749749970676.4346,1.0101020336151123,1.0104187726974487,-9128.0,-8847.0,-7222.0,290.0,-42546.0,0.18108929693698883,-42110.0,-41325.0,-40271.0,-6784.0,0.0,nan,nan,nan,524289,3838
1749749970701.5173,1.0101370811462402,1.0105018615722656,-9124.0,-8821.0,-7295.0,301.0,-42543.0,0.1852363795042038,-42095.0,-41354.0,-40268.0,-6785.0,0.0,nan,nan,nan,524289,3864
1749749970705.4836,1.0102150440216064,1.0104728937149048,-9103.0,-8882.0,-7318.0,266.0,-42563.0,0.18827757239341736,-42084.0,-41305.0,-40273.0,-6788.0,0.0,nan,nan,nan,524289,3869
1749749970709.315,1.0101253986358643,1.0104573965072632,-9062.0,-8911.0,-7284.0,261.0,-42570.0,0.19270113110542297,-42125.0,-41358.0,-40270.0,-6767.0,0.0,nan,nan,nan,524289,3873
1749749970715.096,1.010127305984497,1.0105115175247192,-9016.0,-8934.0,-7294.0,264.0,-42580.0,0.17943046987056732,-42120.0,-41359.0,-40250.0,-6754.0,0.0,nan,nan,nan,524289,3879
1749749970779.034,1.010144829750061,1.0104748010635376,-9113.0,-8899.0,-7306.0,313.0,-42556.0,0.18717168271541595,-42104.0,-41336.0,-40274.0,-6727.0,0.0,nan,nan,nan,524289,3943
1749749970880.5408,1.010156512260437,1.010492205619812,-9097.0,-8823.0,-7307.0,261.0,-42555.0,0.19353054463863373,-42094.0,-41333.0,-40260.0,-6699.0,0.0,nan,nan,nan,524289,4044
1749749970980.4873,1.0101819038391113,1.0104573965072632,-9095.0,-8874.0,-7273.0,282.0,-42538.0,0.1896599382162094,-42080.0,-41330.0,-40239.0,-6761.0,0.0,nan,nan,nan,524289,4144
1749749971081.0337,1.0101195573806763,1.0104225873947144,-9077.0,-8852.0,-7291.0,157.0,-42531.0,0.19601880013942719,-42072.0,-41357.0,-40274.0,-6790.0,0.0,nan,nan,nan,524289,4245
1749749971181.9426,1.0101370811462402,1.0104767084121704,-9106.0,-8932.0,-7294.0,256.0,-42557.0,0.18606579303741455,-42081.0,-41344.0,-40284.0,-6791.0,0.0,nan,nan,nan,524289,4346
1749749971282.5735,1.0101078748703003,1.0104670524597168,-9141.0,-8903.0,-7339.0,207.0,-42534.0,0.1971246898174286,-42102.0,-41322.0,-40281.0,-6737.0,0.0,nan,nan,nan,524289,4446
1749749971383.2083,1.010117530822754,1.0104941129684448,-9138.0,-8894.0,-7314.0,270.0,-42562.0,0.19408349692821503,-42092.0,-41318.0,-40282.0,-6774.0,0.0,nan,nan,nan,524289,4547
1749749971483.5408,1.010156512260437,1.0104612112045288,-9133.0,-8884.0,-7283.0,167.0,-42518.0,0.19242465496063232,-42081.0,-41319.0,-40262.0,-6767.0,0.0,nan,nan,nan,524289,4647
1749749971584.3945,1.0101683139801025,1.010459303855896,-9067.0,-8881.0,-7222.0,229.0,-42544.0,0.19353054463863373,-42111.0,-41327.0,-40279.0,-6738.0,0.0,nan,nan,nan,524289,4748
1749749971685.1182,1.0102131366729736,1.0104999542236328,-9156.0,-8892.0,-7171.0,472.0,-42546.0,0.19353054463863373,-42092.0,-41304.0,-40259.0,-6740.0,0.0,nan,nan,nan,524289,4849
1749749971785.6865,1.0101916790008545,1.0103974342346191,-9131.0,-8901.0,-7285.0,245.0,-42521.0,0.20016588270664215,-42098.0,-41294.0,-40246.0,-6794.0,0.0,nan,nan,nan,524289,4949
1749749971886.7637,1.0102208852767944,1.0104477405548096,-9126.0,-8942.0,-7372.0,294.0,-42542.0,0.19048935174942017,-42076.0,-41336.0,-40282.0,-6783.0,0.0,nan,nan,nan,524289,5050
1749749971987.6345,1.0101137161254883,1.010498046875,-9104.0,-8899.0,-7406.0,266.0,-42546.0,0.1852363795042038,-42078.0,-41338.0,-40276.0,-6763.0,0.0,nan,nan,nan,524289,5151
1749749972089.1287,1.010144829750061,1.0104438066482544,-9121.0,-8866.0,-7238.0,188.0,-42527.0,0.188554048538208,-42075.0,-41320.0,-40273.0,-6783.0,0.0,nan,nan,nan,524289,5252
1749749972189.0422,1.010105848312378,1.0104535818099976,-9169.0,-8859.0,-7271.0,209.0,-42570.0,0.18827757239341736,-42095.0,-41333.0,-40260.0,-6772.0,0.0,nan,nan,nan,524289,5353
1749749972289.5784,1.0101877450942993,1.0104167461395264,-9178.0,-8841.0,-7253.0,207.0,-42536.0,0.19076582789421082,-42088.0,-41334.0,-40280.0,-6811.0,0.0,nan,nan,nan,524289,5453
1749749972390.1504,1.0102559328079224,1.0104089975357056,-9172.0,-8882.0,-7301.0,274.0,-42562.0,0.19463643431663513,-42088.0,-41315.0,-40297.0,-6834.0,0.0,nan,nan,nan,524289,5554
1749749972490.8909,1.0101954936981201,1.0104573965072632,-9175.0,-8948.0,-7239.0,182.0,-42524.0,0.1846834421157837,-42075.0,-41329.0,-40286.0,-6788.0,0.0,nan,nan,nan,524289,5654
1749749972590.754,1.0101624727249146,1.0104070901870728,-9187.0,-8905.0,-7239.0,292.0,-42546.0,0.1891070008277893,-42094.0,-41323.0,-40268.0,-6815.0,0.0,nan,nan,nan,524289,5754
1749749972691.4766,1.0101410150527954,1.0104883909225464,-9193.0,-8980.0,-7247.0,219.0,-42546.0,0.18385402858257294,-42130.0,-41352.0,-40284.0,-6794.0,0.0,nan,nan,nan,524289,5855
1749749972791.6724,1.0101234912872314,1.0105154514312744,-9105.0,-8961.0,-7259.0,266.0,-42575.0,0.1965717375278473,-42094.0,-41355.0,-40301.0,-6839.0,0.0,nan,nan,nan,524289,5955
